from,ci_actual_gCO2,ci_forecast_gCO2,ci_avg_kgCO2_per_kWh
2023-01-01 00:00:00+00:00,76.0,68.0,0.076
2023-01-01 01:00:00+00:00,68.5,73.5,0.0685
2023-01-01 02:00:00+00:00,65.0,69.0,0.065
2023-01-01 03:00:00+00:00,67.5,67.0,0.0675
2023-01-01 04:00:00+00:00,72.0,66.0,0.072
2023-01-01 05:00:00+00:00,72.5,73.5,0.0725
2023-01-01 06:00:00+00:00,72.5,75.5,0.0725
2023-01-01 07:00:00+00:00,74.5,75.5,0.0745
2023-01-01 08:00:00+00:00,77.5,75.5,0.0775
2023-01-01 09:00:00+00:00,78.0,75.5,0.078
2023-01-01 10:00:00+00:00,85.0,78.5,0.085
2023-01-01 11:00:00+00:00,89.5,86.5,0.0895
2023-01-01 12:00:00+00:00,91.5,90.0,0.0915
2023-01-01 13:00:00+00:00,93.5,89.0,0.0935
2023-01-01 14:00:00+00:00,108.5,94.5,0.1085
2023-01-01 15:00:00+00:00,137.0,114.5,0.137
2023-01-01 16:00:00+00:00,152.5,155.0,0.1525
2023-01-01 17:00:00+00:00,161.0,160.0,0.161
2023-01-01 18:00:00+00:00,159.0,160.0,0.159
2023-01-01 19:00:00+00:00,162.0,152.5,0.162
2023-01-01 20:00:00+00:00,163.0,159.5,0.163
2023-01-01 21:00:00+00:00,159.0,173.5,0.159
2023-01-01 22:00:00+00:00,151.5,171.5,0.1515
2023-01-01 23:00:00+00:00,152.5,154.0,0.1525
2023-01-02 00:00:00+00:00,140.5,156.5,0.1405
2023-01-02 01:00:00+00:00,128.0,144.0,0.128
2023-01-02 02:00:00+00:00,124.5,133.5,0.1245
2023-01-02 03:00:00+00:00,120.0,131.5,0.12
2023-01-02 04:00:00+00:00,124.0,124.0,0.124
2023-01-02 05:00:00+00:00,121.0,133.0,0.121
2023-01-02 06:00:00+00:00,133.5,130.5,0.1335
2023-01-02 07:00:00+00:00,151.5,146.5,0.1515
2023-01-02 08:00:00+00:00,158.5,161.0,0.1585
2023-01-02 09:00:00+00:00,163.5,163.0,0.1635
2023-01-02 10:00:00+00:00,152.0,166.5,0.152
2023-01-02 11:00:00+00:00,153.5,154.0,0.1535
2023-01-02 12:00:00+00:00,150.0,158.0,0.15
2023-01-02 13:00:00+00:00,160.0,156.5,0.16
2023-01-02 14:00:00+00:00,166.5,169.0,0.1665
2023-01-02 15:00:00+00:00,187.5,175.5,0.1875
2023-01-02 16:00:00+00:00,194.0,201.5,0.194
2023-01-02 17:00:00+00:00,203.5,199.0,0.2035
2023-01-02 18:00:00+00:00,203.0,205.5,0.203
2023-01-02 19:00:00+00:00,204.5,206.5,0.2045
2023-01-02 20:00:00+00:00,196.0,208.0,0.196
2023-01-02 21:00:00+00:00,178.0,193.0,0.178
2023-01-02 22:00:00+00:00,144.0,176.5,0.144
2023-01-02 23:00:00+00:00,112.0,145.5,0.112
2023-01-03 00:00:00+00:00,101.5,112.5,0.1015
2023-01-03 01:00:00+00:00,98.0,101.0,0.098
2023-01-03 02:00:00+00:00,94.5,101.5,0.0945
2023-01-03 03:00:00+00:00,86.0,95.0,0.086
2023-01-03 04:00:00+00:00,75.5,88.5,0.0755
2023-01-03 05:00:00+00:00,79.5,76.0,0.0795
2023-01-03 06:00:00+00:00,82.0,78.0,0.082
2023-01-03 07:00:00+00:00,101.0,73.5,0.101
2023-01-03 08:00:00+00:00,111.0,93.5,0.111
2023-01-03 09:00:00+00:00,115.0,101.0,0.115
2023-01-03 10:00:00+00:00,117.5,110.0,0.1175
2023-01-03 11:00:00+00:00,118.0,118.5,0.118
2023-01-03 12:00:00+00:00,118.5,120.5,0.1185
2023-01-03 13:00:00+00:00,119.0,120.5,0.119
2023-01-03 14:00:00+00:00,125.5,126.5,0.1255
2023-01-03 15:00:00+00:00,133.0,122.0,0.133
2023-01-03 16:00:00+00:00,131.5,126.5,0.1315
2023-01-03 17:00:00+00:00,131.0,123.0,0.131
2023-01-03 18:00:00+00:00,124.5,124.5,0.1245
2023-01-03 19:00:00+00:00,98.5,114.0,0.0985
2023-01-03 20:00:00+00:00,76.5,89.0,0.0765
2023-01-03 21:00:00+00:00,68.5,68.0,0.0685
2023-01-03 22:00:00+00:00,69.0,62.5,0.069
2023-01-03 23:00:00+00:00,63.5,66.0,0.0635
2023-01-04 00:00:00+00:00,67.5,82.5,0.0675
2023-01-04 01:00:00+00:00,70.0,67.5,0.07
2023-01-04 02:00:00+00:00,63.0,66.0,0.063
2023-01-04 03:00:00+00:00,55.0,75.5,0.055
2023-01-04 04:00:00+00:00,52.5,54.5,0.0525
2023-01-04 05:00:00+00:00,58.5,53.0,0.0585
2023-01-04 06:00:00+00:00,60.0,60.0,0.06
2023-01-04 07:00:00+00:00,64.5,61.0,0.0645
2023-01-04 08:00:00+00:00,65.5,64.5,0.0655
2023-01-04 09:00:00+00:00,64.0,61.0,0.064
2023-01-04 10:00:00+00:00,60.5,59.5,0.0605
2023-01-04 11:00:00+00:00,54.0,62.0,0.054
2023-01-04 12:00:00+00:00,56.5,52.5,0.0565
2023-01-04 13:00:00+00:00,55.5,60.0,0.0555
2023-01-04 14:00:00+00:00,60.5,54.0,0.0605
2023-01-04 15:00:00+00:00,71.0,56.5,0.071
2023-01-04 16:00:00+00:00,85.0,75.5,0.085
2023-01-04 17:00:00+00:00,91.0,81.0,0.091
2023-01-04 18:00:00+00:00,89.0,83.5,0.089
2023-01-04 19:00:00+00:00,82.0,78.5,0.082
2023-01-04 20:00:00+00:00,72.5,82.5,0.0725
2023-01-04 21:00:00+00:00,57.0,69.5,0.057
2023-01-04 22:00:00+00:00,53.0,51.5,0.053
2023-01-04 23:00:00+00:00,64.0,52.0,0.064
2023-01-05 00:00:00+00:00,67.0,58.5,0.067
2023-01-05 01:00:00+00:00,69.0,63.0,0.069
2023-01-05 02:00:00+00:00,70.5,69.5,0.0705
2023-01-05 03:00:00+00:00,73.0,70.5,0.073
2023-01-05 04:00:00+00:00,82.5,77.5,0.0825
2023-01-05 05:00:00+00:00,93.0,88.0,0.093
2023-01-05 06:00:00+00:00,119.5,101.5,0.1195
2023-01-05 07:00:00+00:00,145.5,135.0,0.1455
2023-01-05 08:00:00+00:00,157.0,152.0,0.157
2023-01-05 09:00:00+00:00,161.5,157.0,0.1615
2023-01-05 10:00:00+00:00,162.5,156.0,0.1625
2023-01-05 11:00:00+00:00,147.0,159.5,0.147
2023-01-05 12:00:00+00:00,137.5,137.0,0.1375
2023-01-05 13:00:00+00:00,126.0,127.0,0.126
2023-01-05 14:00:00+00:00,123.5,126.0,0.1235
2023-01-05 15:00:00+00:00,114.5,116.5,0.1145
2023-01-05 16:00:00+00:00,122.0,114.5,0.122
2023-01-05 17:00:00+00:00,122.0,109.5,0.122
2023-01-05 18:00:00+00:00,115.0,111.5,0.115
2023-01-05 19:00:00+00:00,91.0,109.5,0.091
2023-01-05 20:00:00+00:00,63.0,87.5,0.063
2023-01-05 21:00:00+00:00,51.0,60.5,0.051
2023-01-05 22:00:00+00:00,54.5,49.5,0.0545
2023-01-05 23:00:00+00:00,57.5,55.0,0.0575
2023-01-06 00:00:00+00:00,64.0,54.5,0.064
2023-01-06 01:00:00+00:00,58.0,68.0,0.058
2023-01-06 02:00:00+00:00,62.5,56.0,0.0625
2023-01-06 03:00:00+00:00,63.5,60.0,0.0635
2023-01-06 04:00:00+00:00,56.0,58.0,0.056
2023-01-06 05:00:00+00:00,64.5,59.0,0.0645
2023-01-06 06:00:00+00:00,75.0,67.0,0.075
2023-01-06 07:00:00+00:00,83.5,73.0,0.0835
2023-01-06 08:00:00+00:00,91.0,80.0,0.091
2023-01-06 09:00:00+00:00,90.0,98.0,0.09
2023-01-06 10:00:00+00:00,91.5,84.5,0.0915
2023-01-06 11:00:00+00:00,89.0,90.5,0.089
2023-01-06 12:00:00+00:00,92.0,89.5,0.092
2023-01-06 13:00:00+00:00,96.5,97.5,0.0965
2023-01-06 14:00:00+00:00,109.0,111.0,0.109
2023-01-06 15:00:00+00:00,126.0,123.5,0.126
2023-01-06 16:00:00+00:00,135.0,131.0,0.135
2023-01-06 17:00:00+00:00,134.0,134.0,0.134
2023-01-06 18:00:00+00:00,122.5,116.5,0.1225
2023-01-06 19:00:00+00:00,97.0,108.5,0.097
2023-01-06 20:00:00+00:00,73.0,95.0,0.073
2023-01-06 21:00:00+00:00,64.0,60.0,0.064
2023-01-06 22:00:00+00:00,50.5,55.5,0.0505
2023-01-06 23:00:00+00:00,53.0,49.5,0.053
2023-01-07 00:00:00+00:00,58.5,51.0,0.0585
2023-01-07 01:00:00+00:00,55.0,54.5,0.055
2023-01-07 02:00:00+00:00,52.5,56.5,0.0525
2023-01-07 03:00:00+00:00,52.5,57.0,0.0525
2023-01-07 04:00:00+00:00,60.5,53.0,0.0605
2023-01-07 05:00:00+00:00,63.5,59.5,0.0635
2023-01-07 06:00:00+00:00,64.5,64.5,0.0645
2023-01-07 07:00:00+00:00,60.5,60.5,0.0605
2023-01-07 08:00:00+00:00,70.5,58.0,0.0705
2023-01-07 09:00:00+00:00,79.0,64.0,0.079
2023-01-07 10:00:00+00:00,76.0,74.5,0.076
2023-01-07 11:00:00+00:00,72.5,70.5,0.0725
2023-01-07 12:00:00+00:00,70.5,66.5,0.0705
2023-01-07 13:00:00+00:00,68.0,63.5,0.068
2023-01-07 14:00:00+00:00,66.0,62.0,0.066
2023-01-07 15:00:00+00:00,65.0,59.0,0.065
2023-01-07 16:00:00+00:00,64.0,60.5,0.064
2023-01-07 17:00:00+00:00,70.5,58.0,0.0705
2023-01-07 18:00:00+00:00,65.5,63.0,0.0655
2023-01-07 19:00:00+00:00,54.5,90.5,0.0545
2023-01-07 20:00:00+00:00,58.5,45.5,0.0585
2023-01-07 21:00:00+00:00,63.0,50.5,0.063
2023-01-07 22:00:00+00:00,71.0,59.5,0.071
2023-01-07 23:00:00+00:00,65.5,70.0,0.0655
2023-01-08 00:00:00+00:00,61.5,71.0,0.0615
2023-01-08 01:00:00+00:00,62.5,57.5,0.0625
2023-01-08 02:00:00+00:00,71.0,63.0,0.071
2023-01-08 03:00:00+00:00,68.5,66.0,0.0685
2023-01-08 04:00:00+00:00,63.0,67.0,0.063
2023-01-08 05:00:00+00:00,61.5,63.5,0.0615
2023-01-08 06:00:00+00:00,75.5,62.0,0.0755
2023-01-08 07:00:00+00:00,58.0,76.0,0.058
2023-01-08 08:00:00+00:00,58.0,57.5,0.058
2023-01-08 09:00:00+00:00,58.5,59.5,0.0585
2023-01-08 10:00:00+00:00,54.5,55.0,0.0545
2023-01-08 11:00:00+00:00,57.0,53.5,0.057
2023-01-08 12:00:00+00:00,65.0,55.5,0.065
2023-01-08 13:00:00+00:00,62.5,64.0,0.0625
2023-01-08 14:00:00+00:00,66.0,63.0,0.066
2023-01-08 15:00:00+00:00,72.0,68.5,0.072
2023-01-08 16:00:00+00:00,93.5,75.5,0.0935
2023-01-08 17:00:00+00:00,101.5,93.0,0.1015
2023-01-08 18:00:00+00:00,93.5,97.5,0.0935
2023-01-08 19:00:00+00:00,87.5,93.0,0.0875
2023-01-08 20:00:00+00:00,78.0,81.5,0.078
2023-01-08 21:00:00+00:00,75.5,76.5,0.0755
2023-01-08 22:00:00+00:00,66.0,71.0,0.066
2023-01-08 23:00:00+00:00,61.5,67.5,0.0615
2023-01-09 00:00:00+00:00,67.0,60.5,0.067
2023-01-09 01:00:00+00:00,71.0,64.0,0.071
2023-01-09 02:00:00+00:00,70.0,63.0,0.07
2023-01-09 03:00:00+00:00,61.5,57.0,0.0615
2023-01-09 04:00:00+00:00,59.0,54.5,0.059
2023-01-09 05:00:00+00:00,70.5,54.5,0.0705
2023-01-09 06:00:00+00:00,82.0,61.5,0.082
2023-01-09 07:00:00+00:00,99.0,80.0,0.099
2023-01-09 08:00:00+00:00,101.0,92.0,0.101
2023-01-09 09:00:00+00:00,92.5,79.0,0.0925
2023-01-09 10:00:00+00:00,86.0,72.5,0.086
2023-01-09 11:00:00+00:00,86.0,70.5,0.086
2023-01-09 12:00:00+00:00,79.5,74.0,0.0795
2023-01-09 13:00:00+00:00,84.5,65.0,0.0845
2023-01-09 14:00:00+00:00,88.0,94.5,0.088
2023-01-09 15:00:00+00:00,103.0,82.0,0.103
2023-01-09 16:00:00+00:00,109.5,96.5,0.1095
2023-01-09 17:00:00+00:00,108.5,108.5,0.1085
2023-01-09 18:00:00+00:00,107.5,100.5,0.1075
2023-01-09 19:00:00+00:00,108.0,95.0,0.108
2023-01-09 20:00:00+00:00,90.5,92.5,0.0905
2023-01-09 21:00:00+00:00,76.0,86.5,0.076
2023-01-09 22:00:00+00:00,56.0,89.0,0.056
2023-01-09 23:00:00+00:00,55.5,78.0,0.0555
2023-01-10 00:00:00+00:00,64.5,57.5,0.0645
2023-01-10 01:00:00+00:00,63.5,66.0,0.0635
2023-01-10 02:00:00+00:00,72.0,72.0,0.072
2023-01-10 03:00:00+00:00,74.0,61.0,0.074
2023-01-10 04:00:00+00:00,71.5,70.5,0.0715
2023-01-10 05:00:00+00:00,70.0,70.5,0.07
2023-01-10 06:00:00+00:00,89.0,70.5,0.089
2023-01-10 07:00:00+00:00,109.0,88.5,0.109
2023-01-10 08:00:00+00:00,98.5,99.5,0.0985
2023-01-10 09:00:00+00:00,94.0,92.0,0.094
2023-01-10 10:00:00+00:00,93.0,91.5,0.093
2023-01-10 11:00:00+00:00,97.0,93.0,0.097
2023-01-10 12:00:00+00:00,99.0,96.0,0.099
2023-01-10 13:00:00+00:00,93.5,96.5,0.0935
2023-01-10 14:00:00+00:00,87.5,98.5,0.0875
2023-01-10 15:00:00+00:00,83.5,89.0,0.0835
2023-01-10 16:00:00+00:00,86.0,88.5,0.086
2023-01-10 17:00:00+00:00,85.0,84.0,0.085
2023-01-10 18:00:00+00:00,77.5,83.5,0.0775
2023-01-10 19:00:00+00:00,72.0,75.0,0.072
2023-01-10 20:00:00+00:00,62.5,65.0,0.0625
2023-01-10 21:00:00+00:00,65.0,56.5,0.065
2023-01-10 22:00:00+00:00,61.5,59.5,0.0615
2023-01-10 23:00:00+00:00,78.0,59.5,0.078
2023-01-11 00:00:00+00:00,78.5,67.0,0.0785
2023-01-11 01:00:00+00:00,64.0,67.5,0.064
2023-01-11 02:00:00+00:00,69.5,59.5,0.0695
2023-01-11 03:00:00+00:00,61.0,58.5,0.061
2023-01-11 04:00:00+00:00,73.5,66.5,0.0735
2023-01-11 05:00:00+00:00,78.0,68.5,0.078
2023-01-11 06:00:00+00:00,78.0,81.0,0.078
2023-01-11 07:00:00+00:00,72.0,81.0,0.072
2023-01-11 08:00:00+00:00,69.5,67.5,0.0695
2023-01-11 09:00:00+00:00,67.0,68.0,0.067
2023-01-11 10:00:00+00:00,58.0,68.0,0.058
2023-01-11 11:00:00+00:00,54.5,58.0,0.0545
2023-01-11 12:00:00+00:00,63.0,56.0,0.063
2023-01-11 13:00:00+00:00,70.0,62.5,0.07
2023-01-11 14:00:00+00:00,70.5,65.5,0.0705
2023-01-11 15:00:00+00:00,71.0,62.5,0.071
2023-01-11 16:00:00+00:00,87.0,69.0,0.087
2023-01-11 17:00:00+00:00,92.5,74.0,0.0925
2023-01-11 18:00:00+00:00,91.5,75.5,0.0915
2023-01-11 19:00:00+00:00,85.5,72.0,0.0855
2023-01-11 20:00:00+00:00,74.5,73.0,0.0745
2023-01-11 21:00:00+00:00,63.5,70.5,0.0635
2023-01-11 22:00:00+00:00,63.5,67.0,0.0635
2023-01-11 23:00:00+00:00,59.5,67.0,0.0595
2023-01-12 00:00:00+00:00,62.5,75.5,0.0625
2023-01-12 01:00:00+00:00,63.5,61.0,0.0635
2023-01-12 02:00:00+00:00,59.0,67.5,0.059
2023-01-12 03:00:00+00:00,65.5,57.5,0.0655
2023-01-12 04:00:00+00:00,62.0,70.0,0.062
2023-01-12 05:00:00+00:00,72.5,63.5,0.0725
2023-01-12 06:00:00+00:00,78.5,68.5,0.0785
2023-01-12 07:00:00+00:00,93.5,76.0,0.0935
2023-01-12 08:00:00+00:00,109.0,93.0,0.109
2023-01-12 09:00:00+00:00,108.0,101.5,0.108
2023-01-12 10:00:00+00:00,100.5,100.0,0.1005
2023-01-12 11:00:00+00:00,92.5,94.5,0.0925
2023-01-12 12:00:00+00:00,82.5,92.0,0.0825
2023-01-12 13:00:00+00:00,76.0,76.5,0.076
2023-01-12 14:00:00+00:00,69.5,76.5,0.0695
2023-01-12 15:00:00+00:00,69.5,68.5,0.0695
2023-01-12 16:00:00+00:00,77.5,72.5,0.0775
2023-01-12 17:00:00+00:00,84.0,76.5,0.084
2023-01-12 18:00:00+00:00,83.0,82.0,0.083
2023-01-12 19:00:00+00:00,74.0,75.5,0.074
2023-01-12 20:00:00+00:00,67.5,77.5,0.0675
2023-01-12 21:00:00+00:00,66.0,66.0,0.066
2023-01-12 22:00:00+00:00,67.5,63.5,0.0675
2023-01-12 23:00:00+00:00,59.5,63.0,0.0595
2023-01-13 00:00:00+00:00,66.5,55.0,0.0665
2023-01-13 01:00:00+00:00,66.0,55.0,0.066
2023-01-13 02:00:00+00:00,57.0,57.0,0.057
2023-01-13 03:00:00+00:00,59.5,57.0,0.0595
2023-01-13 04:00:00+00:00,56.0,58.0,0.056
2023-01-13 05:00:00+00:00,63.5,57.0,0.0635
2023-01-13 06:00:00+00:00,74.5,61.5,0.0745
2023-01-13 07:00:00+00:00,74.0,72.0,0.074
2023-01-13 08:00:00+00:00,74.5,71.5,0.0745
2023-01-13 09:00:00+00:00,76.0,71.5,0.076
2023-01-13 10:00:00+00:00,73.0,73.5,0.073
2023-01-13 11:00:00+00:00,73.0,72.0,0.073
2023-01-13 12:00:00+00:00,76.5,70.5,0.0765
2023-01-13 13:00:00+00:00,72.5,74.5,0.0725
2023-01-13 14:00:00+00:00,77.5,71.5,0.0775
2023-01-13 15:00:00+00:00,89.5,82.5,0.0895
2023-01-13 16:00:00+00:00,113.5,98.5,0.1135
2023-01-13 17:00:00+00:00,128.0,120.5,0.128
2023-01-13 18:00:00+00:00,130.0,127.5,0.13
2023-01-13 19:00:00+00:00,125.0,123.0,0.125
2023-01-13 20:00:00+00:00,124.5,118.5,0.1245
