time,settlementPeriod,settlementDate,MIP_GBP_per_MWh,MIP_volume_MWh
2023-01-01 00:00:00+00:00,1,2023-01-01,31.24,635.65
2023-01-01 00:30:00+00:00,2,2023-01-01,51.71,557.1
2023-01-01 01:00:00+00:00,3,2023-01-01,61.05,593.7
2023-01-01 01:30:00+00:00,4,2023-01-01,26.375,784.45
2023-01-01 02:00:00+00:00,5,2023-01-01,16.75,641.7
2023-01-01 02:30:00+00:00,6,2023-01-01,9.17,535.3
2023-01-01 03:00:00+00:00,7,2023-01-01,-10.14,490.2
2023-01-01 03:30:00+00:00,8,2023-01-01,-15.8,450.2
2023-01-01 04:00:00+00:00,9,2023-01-01,-12.715,387.8
2023-01-01 04:30:00+00:00,10,2023-01-01,-0.805,557.4
2023-01-01 05:00:00+00:00,11,2023-01-01,3.265,689.45
2023-01-01 05:30:00+00:00,12,2023-01-01,-2.765,581.95
2023-01-01 06:00:00+00:00,13,2023-01-01,-3.095,677.25
2023-01-01 06:30:00+00:00,14,2023-01-01,-3.16,595.0
2023-01-01 07:00:00+00:00,15,2023-01-01,-7.735,762.25
2023-01-01 07:30:00+00:00,16,2023-01-01,-5.22,541.6
2023-01-01 08:00:00+00:00,17,2023-01-01,-8.3,648.15
2023-01-01 08:30:00+00:00,18,2023-01-01,2.445,974.3
2023-01-01 09:00:00+00:00,19,2023-01-01,34.02,1094.3
2023-01-01 09:30:00+00:00,20,2023-01-01,52.32,941.4
2023-01-01 10:00:00+00:00,21,2023-01-01,67.415,1177.1
2023-01-01 10:30:00+00:00,22,2023-01-01,70.49,1309.3
2023-01-01 11:00:00+00:00,23,2023-01-01,76.685,930.6
2023-01-01 11:30:00+00:00,24,2023-01-01,80.765,1204.45
2023-01-01 12:00:00+00:00,25,2023-01-01,82.115,1176.45
2023-01-01 12:30:00+00:00,26,2023-01-01,83.74,1259.85
2023-01-01 13:00:00+00:00,27,2023-01-01,85.25,1082.45
2023-01-01 13:30:00+00:00,28,2023-01-01,79.32,1286.4
2023-01-01 14:00:00+00:00,29,2023-01-01,77.385,1353.75
2023-01-01 14:30:00+00:00,30,2023-01-01,78.255,1311.65
2023-01-01 15:00:00+00:00,31,2023-01-01,75.805,1335.35
2023-01-01 15:30:00+00:00,32,2023-01-01,91.64,1388.5
2023-01-01 16:00:00+00:00,33,2023-01-01,100.78,1199.55
2023-01-01 16:30:00+00:00,34,2023-01-01,106.825,1526.8
2023-01-01 17:00:00+00:00,35,2023-01-01,109.88,1844.6
2023-01-01 17:30:00+00:00,36,2023-01-01,110.275,1733.5
2023-01-01 18:00:00+00:00,37,2023-01-01,109.885,1692.45
2023-01-01 18:30:00+00:00,38,2023-01-01,109.56,2069.8
2023-01-01 19:00:00+00:00,39,2023-01-01,98.64,1897.65
2023-01-01 19:30:00+00:00,40,2023-01-01,100.015,1808.6
2023-01-01 20:00:00+00:00,41,2023-01-01,98.445,2324.5
2023-01-01 20:30:00+00:00,42,2023-01-01,91.46,2281.3
2023-01-01 21:00:00+00:00,43,2023-01-01,94.285,2592.6
2023-01-01 21:30:00+00:00,44,2023-01-01,88.95,2474.45
2023-01-01 22:00:00+00:00,45,2023-01-01,80.88,2339.3
2023-01-01 22:30:00+00:00,46,2023-01-01,83.0,2236.5
2023-01-01 23:00:00+00:00,47,2023-01-01,78.255,617.55
2023-01-01 23:30:00+00:00,48,2023-01-01,75.675,969.25
2023-01-02 00:00:00+00:00,1,2023-01-02,86.34,828.15
2023-01-02 00:30:00+00:00,2,2023-01-02,91.17,1081.35
2023-01-02 01:00:00+00:00,3,2023-01-02,84.89,1034.8
2023-01-02 01:30:00+00:00,4,2023-01-02,78.505,892.95
2023-01-02 02:00:00+00:00,5,2023-01-02,66.51,1115.1
2023-01-02 02:30:00+00:00,6,2023-01-02,60.885,1082.95
2023-01-02 03:00:00+00:00,7,2023-01-02,41.88,900.75
2023-01-02 03:30:00+00:00,8,2023-01-02,34.82,637.35
2023-01-02 04:00:00+00:00,9,2023-01-02,28.725,735.6
2023-01-02 04:30:00+00:00,10,2023-01-02,12.8,766.85
2023-01-02 05:00:00+00:00,11,2023-01-02,21.765,1143.6
2023-01-02 05:30:00+00:00,12,2023-01-02,21.905,1102.25
2023-01-02 06:00:00+00:00,13,2023-01-02,34.37,1710.1
2023-01-02 06:30:00+00:00,14,2023-01-02,34.12,1618.85
2023-01-02 07:00:00+00:00,15,2023-01-02,40.405,1578.0
2023-01-02 07:30:00+00:00,16,2023-01-02,38.44,1562.55
2023-01-02 08:00:00+00:00,17,2023-01-02,35.085,1750.45
2023-01-02 08:30:00+00:00,18,2023-01-02,52.94,2158.85
2023-01-02 09:00:00+00:00,19,2023-01-02,40.81,1657.7
2023-01-02 09:30:00+00:00,20,2023-01-02,57.605,2065.3
2023-01-02 10:00:00+00:00,21,2023-01-02,54.32,2021.25
2023-01-02 10:30:00+00:00,22,2023-01-02,53.355,2223.0
2023-01-02 11:00:00+00:00,23,2023-01-02,60.46,2313.4
2023-01-02 11:30:00+00:00,24,2023-01-02,60.97,2665.5
2023-01-02 12:00:00+00:00,25,2023-01-02,52.19,2233.0
2023-01-02 12:30:00+00:00,26,2023-01-02,51.92,2133.6
2023-01-02 13:00:00+00:00,27,2023-01-02,59.805,2411.35
2023-01-02 13:30:00+00:00,28,2023-01-02,63.445,2434.65
2023-01-02 14:00:00+00:00,29,2023-01-02,59.845,2259.05
2023-01-02 14:30:00+00:00,30,2023-01-02,59.685,2304.2
2023-01-02 15:00:00+00:00,31,2023-01-02,75.455,2006.3
2023-01-02 15:30:00+00:00,32,2023-01-02,80.115,1846.0
2023-01-02 16:00:00+00:00,33,2023-01-02,66.975,2052.35
2023-01-02 16:30:00+00:00,34,2023-01-02,91.51,2284.35
2023-01-02 17:00:00+00:00,35,2023-01-02,100.865,1695.65
2023-01-02 17:30:00+00:00,36,2023-01-02,104.255,1748.85
2023-01-02 18:00:00+00:00,37,2023-01-02,107.99,1748.45
2023-01-02 18:30:00+00:00,38,2023-01-02,105.34,1875.2
2023-01-02 19:00:00+00:00,39,2023-01-02,92.4,1632.35
2023-01-02 19:30:00+00:00,40,2023-01-02,87.46,1544.1
2023-01-02 20:00:00+00:00,41,2023-01-02,85.51,1419.55
2023-01-02 20:30:00+00:00,42,2023-01-02,84.495,1401.65
2023-01-02 21:00:00+00:00,43,2023-01-02,75.245,729.4
2023-01-02 21:30:00+00:00,44,2023-01-02,63.215,746.35
2023-01-02 22:00:00+00:00,45,2023-01-02,61.395,1285.7
2023-01-02 22:30:00+00:00,46,2023-01-02,53.54,1926.1
2023-01-02 23:00:00+00:00,47,2023-01-02,76.4,1213.9
2023-01-02 23:30:00+00:00,48,2023-01-02,66.22,747.05
2023-01-03 00:00:00+00:00,1,2023-01-03,56.255,896.75
2023-01-03 00:30:00+00:00,2,2023-01-03,79.175,764.4
2023-01-03 01:00:00+00:00,3,2023-01-03,79.08,721.55
2023-01-03 01:30:00+00:00,4,2023-01-03,70.365,885.65
2023-01-03 02:00:00+00:00,5,2023-01-03,68.25,1044.45
2023-01-03 02:30:00+00:00,6,2023-01-03,62.795,1108.0
2023-01-03 03:00:00+00:00,7,2023-01-03,76.91,980.7
2023-01-03 03:30:00+00:00,8,2023-01-03,62.065,1168.75
2023-01-03 04:00:00+00:00,9,2023-01-03,79.955,1205.35
2023-01-03 04:30:00+00:00,10,2023-01-03,61.9,1531.15
2023-01-03 05:00:00+00:00,11,2023-01-03,89.595,1017.15
2023-01-03 05:30:00+00:00,12,2023-01-03,88.635,1639.15
2023-01-03 06:00:00+00:00,13,2023-01-03,88.745,1521.55
2023-01-03 06:30:00+00:00,14,2023-01-03,86.66,2014.2
2023-01-03 07:00:00+00:00,15,2023-01-03,72.62,1901.75
2023-01-03 07:30:00+00:00,16,2023-01-03,63.465,1854.85
2023-01-03 08:00:00+00:00,17,2023-01-03,64.33,1970.25
2023-01-03 08:30:00+00:00,18,2023-01-03,90.075,2305.0
2023-01-03 09:00:00+00:00,19,2023-01-03,64.01,2146.1
2023-01-03 09:30:00+00:00,20,2023-01-03,78.14,2096.9
2023-01-03 10:00:00+00:00,21,2023-01-03,67.715,1735.85
2023-01-03 10:30:00+00:00,22,2023-01-03,72.825,1899.55
2023-01-03 11:00:00+00:00,23,2023-01-03,66.765,1623.2
2023-01-03 11:30:00+00:00,24,2023-01-03,79.13,1677.45
2023-01-03 12:00:00+00:00,25,2023-01-03,74.18,1792.7
2023-01-03 12:30:00+00:00,26,2023-01-03,75.675,1637.55
2023-01-03 13:00:00+00:00,27,2023-01-03,77.38,1576.8
2023-01-03 13:30:00+00:00,28,2023-01-03,73.145,1806.05
