time,SBP_GBP_per_MWh,SSP_GBP_per_MWh
2023-01-01 00:00:00+00:00,95.965,95.965
2023-01-01 01:00:00+00:00,90.93,90.93
2023-01-01 02:00:00+00:00,-38.305,-38.305
2023-01-01 03:00:00+00:00,-46.019999999999996,-46.019999999999996
2023-01-01 04:00:00+00:00,-30.86,-30.86
2023-01-01 05:00:00+00:00,-38.305,-38.305
2023-01-01 06:00:00+00:00,-43.44499999999999,-43.44499999999999
2023-01-01 07:00:00+00:00,-44.09,-44.09
2023-01-01 08:00:00+00:00,-35.655,-35.655
2023-01-01 09:00:00+00:00,200.0,200.0
2023-01-01 10:00:00+00:00,202.0,202.0
2023-01-01 11:00:00+00:00,202.0,202.0
2023-01-01 12:00:00+00:00,203.0,203.0
2023-01-01 13:00:00+00:00,202.0,202.0
2023-01-01 14:00:00+00:00,203.25,203.25
2023-01-01 15:00:00+00:00,251.11515,251.11515
2023-01-01 16:00:00+00:00,250.0,250.0
2023-01-01 17:00:00+00:00,265.0,265.0
2023-01-01 18:00:00+00:00,150.0,150.0
2023-01-01 19:00:00+00:00,250.0,250.0
2023-01-01 20:00:00+00:00,223.5,223.5
2023-01-01 21:00:00+00:00,223.5,223.5
2023-01-01 22:00:00+00:00,166.0,166.0
2023-01-01 23:00:00+00:00,193.675,193.675
2023-01-02 00:00:00+00:00,177.51,177.51
2023-01-02 01:00:00+00:00,42.0,42.0
2023-01-02 02:00:00+00:00,28.5,28.5
2023-01-02 03:00:00+00:00,-33.275,-33.275
2023-01-02 04:00:00+00:00,-91.85499999999999,-91.85499999999999
2023-01-02 05:00:00+00:00,-55.0,-55.0
2023-01-02 06:00:00+00:00,5.05,5.05
2023-01-02 07:00:00+00:00,10.0,10.0
2023-01-02 08:00:00+00:00,-24.895,-24.895
2023-01-02 09:00:00+00:00,10.21,10.21
2023-01-02 10:00:00+00:00,30.5,30.5
2023-01-02 11:00:00+00:00,15.0,15.0
2023-01-02 12:00:00+00:00,27.956895,27.956895
2023-01-02 13:00:00+00:00,220.0,220.0
2023-01-02 14:00:00+00:00,140.0,140.0
2023-01-02 15:00:00+00:00,224.5,224.5
2023-01-02 16:00:00+00:00,264.5,264.5
2023-01-02 17:00:00+00:00,300.0,300.0
2023-01-02 18:00:00+00:00,275.0,275.0
2023-01-02 19:00:00+00:00,243.75,243.75
2023-01-02 20:00:00+00:00,147.05,147.05
2023-01-02 21:00:00+00:00,137.5,137.5
2023-01-02 22:00:00+00:00,65.08,65.08
2023-01-02 23:00:00+00:00,159.19,159.19
2023-01-03 00:00:00+00:00,214.0,214.0
2023-01-03 01:00:00+00:00,212.0,212.0
